,NE,Count,Type
773,Louis,19,PERSON
774,United States Air Force,19,ORGANIZATION
775,Adams,19,PERSON
776,Richards,19,PERSON
777,Dennis,19,PERSON
778,Rio de Janeiro,19,LOCATION
779,Jim Davis,19,PERSON
780,Winnipeg,19,LOCATION
781,Quon,19,PERSON
782,Delhi,19,LOCATION
783,Anita Blake,19,PERSON
784,Staten Island,19,LOCATION
785,Brittany,19,PERSON
786,Lexington,19,LOCATION
787,Mark,19,PERSON
788,Cambridge University Press,19,ORGANIZATION
789,Jefferson,19,PERSON
790,Houston SaberCats,19,PERSON
791,Metke,19,PERSON
792,Milne,19,PERSON
793,Czechoslovakia,19,LOCATION
794,Frankfurt,19,LOCATION
795,Ivory Coast,19,LOCATION
796,Santos,19,PERSON
797,Tonga,19,LOCATION
798,Ren?e Geyer,19,PERSON
799,Trunajaya,19,PERSON
800,Sheffield,19,PERSON
801,Browns,19,O
802,Lincoln Near-Earth Asteroid Research,19,ORGANIZATION
803,Frank,19,PERSON
804,Greek,19,O
805,St Patrick,19,PERSON
806,USPD,19,ORGANIZATION
807,Chicago River,19,LOCATION
808,Sam,19,PERSON
809,Brett Rypien,19,PERSON
810,Shropshire,19,PERSON
811,Samoa,19,LOCATION
812,Tom,19,PERSON
813,Sarah,19,PERSON
814,Chea,19,PERSON
815,Gunnawarra,19,PERSON
816,Suzanne,19,PERSON
817,Ray,19,PERSON
818,North Dakota,19,LOCATION
819,Bengali,19,PERSON
820,Mike Selinker,18,PERSON
821,Golden Gophers,18,O
822,Lothar von Richthofen,18,PERSON
823,Buenos Aires,18,LOCATION
824,Kilkenny GAA,18,PERSON
825,Ross Island,18,PERSON
826,TBAN,18,ORGANIZATION
827,Shrike,18,PERSON
828,Stockdorf,18,PERSON
829,Alex,18,PERSON
830,Essendon,18,PERSON
831,IUCN,18,ORGANIZATION
832,Brianboulton,18,PERSON
833,Abraham Lincoln,18,PERSON
834,CNN,18,ORGANIZATION
835,H?kan Andersson,18,PERSON
836,Kevin,18,PERSON
837,Rigby,18,PERSON
838,Polbot,18,PERSON
839,NBL,18,ORGANIZATION
840,Argosy University,18,ORGANIZATION
841,Katie,18,PERSON
842,Amelia,18,PERSON
843,Oxfordshire,18,LOCATION
844,Catholic Church,18,ORGANIZATION
845,Newton,18,PERSON
846,Ann Arbor,18,PERSON
847,Memphis,18,LOCATION
848,Central District,18,O
849,Catherine,18,PERSON
850,Walter G?rlitz,18,PERSON
851,Seidenberg,18,PERSON
852,Lima,18,LOCATION
853,Amtrak,18,ORGANIZATION
854,Derbyshire,18,LOCATION
855,Platnick & amp,18,PERSON
856,Yugoslavia,18,LOCATION
857,Makoto Matsushita,18,PERSON
858,Brabant,18,O
859,Chelsea,18,PERSON
860,French Guiana,18,O
861,Tajikistan,18,LOCATION
862,Derby,18,O
863,S?o Paulo,18,PERSON
864,Montenegro,18,LOCATION
865,Lions,18,O
866,Schumpeter,18,PERSON
867,Horthy,18,PERSON
868,Harvard University,18,ORGANIZATION
869,Evans,18,PERSON
870,Roberty,18,PERSON
871,Rodney,18,PERSON
872,Hyderabad,18,LOCATION
873,Reading Phillies,18,O
874,Rutherford,18,PERSON
875,Shanghai,18,LOCATION
876,Benrath,18,PERSON
877,Belgrade,18,LOCATION
878,Cairo,18,LOCATION
879,Green Party,18,ORGANIZATION
